"student_id","date_registered","onboarded"
"258798","2022-01-01","1"
"258799","2022-01-01","0"
"258800","2022-01-01","1"
"258801","2022-01-01","0"
"258802","2022-01-01","0"
"258803","2022-01-01","1"
"258804","2022-01-01","1"
"258805","2022-01-01","0"
"258806","2022-01-01","0"
"258807","2022-01-01","1"
"258808","2022-01-01","0"
"258809","2022-01-01","1"
"258810","2022-01-01","1"
"258811","2022-01-01","1"
"258812","2022-01-01","1"
"258813","2022-01-01","1"
"258814","2022-01-01","1"
"258815","2022-01-01","1"
"258816","2022-01-01","1"
"258817","2022-01-01","1"
"258818","2022-01-01","1"
"258819","2022-01-01","1"
"258820","2022-01-01","0"
"258821","2022-01-01","0"
"258822","2022-01-01","1"
"258823","2022-01-01","0"
"258824","2022-01-01","1"
"258825","2022-01-01","0"
"258826","2022-01-01","1"
"258827","2022-01-01","1"
"258828","2022-01-01","1"
"258829","2022-01-01","1"
"258830","2022-01-01","1"
"258831","2022-01-01","1"
"258832","2022-01-01","1"
"258833","2022-01-01","1"
"258834","2022-01-01","1"
"258835","2022-01-01","0"
"258836","2022-01-01","0"
"258837","2022-01-01","1"
"258838","2022-01-01","0"
"258839","2022-01-01","0"
"258840","2022-01-01","1"
"258841","2022-01-01","1"
"258842","2022-01-01","0"
"258843","2022-01-01","0"
"258844","2022-01-01","0"
"258845","2022-01-01","1"
"258846","2022-01-01","1"
"258847","2022-01-01","0"
"258848","2022-01-01","1"
"258849","2022-01-01","1"
"258850","2022-01-01","0"
"258851","2022-01-01","1"
"258852","2022-01-01","1"
"258853","2022-01-01","0"
"258854","2022-01-01","0"
"258855","2022-01-01","1"
"258856","2022-01-01","0"
"258857","2022-01-01","1"
"258858","2022-01-01","0"
"258859","2022-01-01","0"
"258860","2022-01-01","1"
"258861","2022-01-01","1"
"258862","2022-01-01","1"
"258863","2022-01-01","1"
"258864","2022-01-01","0"
"258865","2022-01-01","1"
"258866","2022-01-01","0"
"258867","2022-01-01","0"
"258868","2022-01-01","0"
"258869","2022-01-01","1"
"258870","2022-01-01","1"
"258871","2022-01-01","1"
"258872","2022-01-01","1"
"258873","2022-01-01","0"
"258874","2022-01-01","0"
"258875","2022-01-01","0"
"258876","2022-01-01","1"
"258877","2022-01-01","0"
"258878","2022-01-01","1"
"258879","2022-01-01","1"
"258880","2022-01-01","1"
"258881","2022-01-01","1"
"258882","2022-01-01","1"
"258883","2022-01-01","1"
"258884","2022-01-01","1"
"258885","2022-01-01","1"
"258886","2022-01-01","0"
"258887","2022-01-01","1"
"258888","2022-01-01","1"
"258889","2022-01-01","0"
"258890","2022-01-01","1"
"258891","2022-01-01","0"
"258892","2022-01-01","1"
"258893","2022-01-01","1"
"258894","2022-01-01","1"
"258895","2022-01-01","1"
"258896","2022-01-01","0"
"258897","2022-01-01","1"
"258898","2022-01-01","0"
"258899","2022-01-01","0"
"258900","2022-01-01","0"
"258901","2022-01-01","0"
"258902","2022-01-01","1"
"258903","2022-01-01","1"
"258904","2022-01-01","1"
"258905","2022-01-01","1"
"258906","2022-01-01","1"
"258907","2022-01-01","1"
"258908","2022-01-01","1"
"258909","2022-01-01","0"
"258910","2022-01-02","1"
"258911","2022-01-02","0"
"258912","2022-01-02","1"
"258913","2022-01-02","1"
"258914","2022-01-02","1"
"258915","2022-01-02","1"
"258916","2022-01-02","1"
"258917","2022-01-02","1"
"258918","2022-01-02","0"
"258919","2022-01-02","0"
"258920","2022-01-02","1"
"258921","2022-01-02","0"
"258922","2022-01-02","1"
"258923","2022-01-02","0"
"258924","2022-01-02","1"
"258925","2022-01-02","1"
