student_id,date_registered,total_minutes_watched,num_paid_days,buckets
258800,2022-01-01,531.02,365 days,"(480.0, 1000.0]"
258803,2022-01-01,619.64,365 days,"(480.0, 1000.0]"
258818,2022-01-01,1392.0999999999997,365 days,"(1000.0, 2000.0]"
258822,2022-01-01,382.31000000000006,31 days,"(240.0, 480.0]"
258832,2022-01-01,227.53000000000003,31 days,"(120.0, 240.0]"
258862,2022-01-01,639.3999999999999,365 days,"(480.0, 1000.0]"
258865,2022-01-01,318.37999999999994,365 days,"(240.0, 480.0]"
258878,2022-01-01,133.76,365 days,"(120.0, 240.0]"
258883,2022-01-01,30.0,365 days,"(0.0, 30.0]"
258908,2022-01-01,558.62,31 days,"(480.0, 1000.0]"
258913,2022-01-02,1462.8500000000001,369 days,"(1000.0, 2000.0]"
258916,2022-01-02,537.8399999999999,365 days,"(480.0, 1000.0]"
258922,2022-01-02,194.92999999999998,365 days,"(120.0, 240.0]"
258930,2022-01-02,171.10999999999999,393 days,"(120.0, 240.0]"
258955,2022-01-02,408.46000000000004,365 days,"(240.0, 480.0]"
258956,2022-01-02,716.6700000000001,120 days,"(480.0, 1000.0]"
258971,2022-01-02,242.52999999999997,31 days,"(240.0, 480.0]"
258980,2022-01-02,338.46999999999997,365 days,"(240.0, 480.0]"
258984,2022-01-02,434.65000000000003,365 days,"(240.0, 480.0]"
259011,2022-01-02,809.57,36 days,"(480.0, 1000.0]"
259026,2022-01-02,544.5899999999999,151 days,"(480.0, 1000.0]"
259028,2022-01-02,118.64,31 days,"(60.0, 120.0]"
259039,2022-01-02,402.1499999999999,151 days,"(240.0, 480.0]"
259054,2022-01-03,69.39,365 days,"(60.0, 120.0]"
259070,2022-01-03,714.9499999999999,365 days,"(480.0, 1000.0]"
259106,2022-01-03,2861.73,365 days,"(2000.0, 3000.0]"
259155,2022-01-03,377.79,28 days,"(240.0, 480.0]"
259171,2022-01-04,222.8,90 days,"(120.0, 240.0]"
259174,2022-01-04,4922.01,365 days,"(4000.0, 6000.0]"
259190,2022-01-04,11.4,365 days,"(0.0, 30.0]"
259209,2022-01-04,245.20000000000002,365 days,"(240.0, 480.0]"
259258,2022-01-04,1400.1599999999996,638 days,"(1000.0, 2000.0]"
259260,2022-01-04,69.49000000000001,365 days,"(60.0, 120.0]"
259261,2022-01-04,16.6,20 days,"(0.0, 30.0]"
259262,2022-01-04,992.82,365 days,"(480.0, 1000.0]"
259268,2022-01-04,1393.56,31 days,"(1000.0, 2000.0]"
259273,2022-01-04,27.630000000000003,31 days,"(0.0, 30.0]"
259283,2022-01-04,1727.2700000000002,424 days,"(1000.0, 2000.0]"
259300,2022-01-05,371.98,365 days,"(240.0, 480.0]"
259305,2022-01-05,571.1300000000001,59 days,"(480.0, 1000.0]"
259361,2022-01-05,204.0,365 days,"(120.0, 240.0]"
259398,2022-01-05,357.93999999999994,19 days,"(240.0, 480.0]"
259408,2022-01-05,484.88,90 days,"(480.0, 1000.0]"
259429,2022-01-06,1338.53,365 days,"(1000.0, 2000.0]"
259437,2022-01-06,79.81,365 days,"(60.0, 120.0]"
259447,2022-01-06,199.82999999999998,365 days,"(120.0, 240.0]"
259464,2022-01-06,26.83,31 days,"(0.0, 30.0]"
259473,2022-01-06,105.13,365 days,"(60.0, 120.0]"
259474,2022-01-06,119.18,31 days,"(60.0, 120.0]"
