student_id,date_registered,f2p,total_minutes_watched,buckets
258798,2022-01-01,0,0.28,"(0.0, 5.0]"
258799,2022-01-01,0,0.0,0
258800,2022-01-01,1,0.0,0
258801,2022-01-01,0,0.0,0
258802,2022-01-01,0,0.0,0
258803,2022-01-01,1,62.57,"(60.0, 70.0]"
258804,2022-01-01,0,14.18,"(10.0, 15.0]"
258805,2022-01-01,0,0.0,0
258806,2022-01-01,0,0.0,0
258807,2022-01-01,0,1.82,"(0.0, 5.0]"
258808,2022-01-01,0,0.0,0
258809,2022-01-01,0,53.22,"(50.0, 60.0]"
258810,2022-01-01,0,3.23,"(0.0, 5.0]"
258811,2022-01-01,0,41.88,"(40.0, 50.0]"
258812,2022-01-01,0,2.2,"(0.0, 5.0]"
258813,2022-01-01,0,2.1,"(0.0, 5.0]"
258814,2022-01-01,0,8.72,"(5.0, 10.0]"
258815,2022-01-01,0,28.98,"(25.0, 30.0]"
258816,2022-01-01,0,0.8099999999999999,"(0.0, 5.0]"
258817,2022-01-01,0,0.38,"(0.0, 5.0]"
258818,2022-01-01,1,12.84,"(10.0, 15.0]"
258819,2022-01-01,0,6.58,"(5.0, 10.0]"
258820,2022-01-01,0,0.0,0
258821,2022-01-01,0,0.0,0
258822,2022-01-01,1,50.019999999999996,"(50.0, 60.0]"
258823,2022-01-01,0,0.0,0
258824,2022-01-01,0,1.32,"(0.0, 5.0]"
258825,2022-01-01,0,0.0,0
258826,2022-01-01,0,0.27,"(0.0, 5.0]"
258827,2022-01-01,0,0.3,"(0.0, 5.0]"
258828,2022-01-01,0,0.4,"(0.0, 5.0]"
258829,2022-01-01,0,12.52,"(10.0, 15.0]"
258830,2022-01-01,0,0.93,"(0.0, 5.0]"
258831,2022-01-01,0,0.08,"(0.0, 5.0]"
258832,2022-01-01,1,71.16999999999999,"(70.0, 80.0]"
258833,2022-01-01,0,1.28,"(0.0, 5.0]"
258834,2022-01-01,0,21.85,"(20.0, 25.0]"
258835,2022-01-01,0,0.0,0
258836,2022-01-01,0,0.0,0
258837,2022-01-01,0,35.72,"(30.0, 40.0]"
258838,2022-01-01,0,0.0,0
258839,2022-01-01,0,0.0,0
258840,2022-01-01,0,42.120000000000005,"(40.0, 50.0]"
258841,2022-01-01,0,0.57,"(0.0, 5.0]"
258842,2022-01-01,0,0.0,0
258843,2022-01-01,0,0.0,0
258844,2022-01-01,0,0.0,0
258845,2022-01-01,0,1556.05,"(1000.0, 2000.0]"
258846,2022-01-01,0,6.88,"(5.0, 10.0]"
258847,2022-01-01,0,0.0,0
258848,2022-01-01,0,0.05,"(0.0, 5.0]"
258849,2022-01-01,0,12.03,"(10.0, 15.0]"
258850,2022-01-01,0,0.0,0
258851,2022-01-01,0,6.58,"(5.0, 10.0]"
258852,2022-01-01,0,0.07,"(0.0, 5.0]"
258853,2022-01-01,0,0.0,0
258854,2022-01-01,0,0.0,0
258855,2022-01-01,0,0.15,"(0.0, 5.0]"
258856,2022-01-01,0,0.0,0
258857,2022-01-01,0,0.75,"(0.0, 5.0]"
258858,2022-01-01,0,0.0,0
258859,2022-01-01,0,0.0,0
258860,2022-01-01,0,12.18,"(10.0, 15.0]"
258861,2022-01-01,0,21.539999999999996,"(20.0, 25.0]"
258862,2022-01-01,1,40.53,"(40.0, 50.0]"
258863,2022-01-01,0,415.73,"(240.0, 480.0]"
258864,2022-01-01,0,0.0,0
258865,2022-01-01,1,67.53,"(60.0, 70.0]"
258866,2022-01-01,0,0.0,0
258867,2022-01-01,0,0.0,0
258868,2022-01-01,0,0.0,0
258869,2022-01-01,0,1.2,"(0.0, 5.0]"
258870,2022-01-01,0,4.7,"(0.0, 5.0]"
258871,2022-01-01,0,2.22,"(0.0, 5.0]"
258872,2022-01-01,0,63.82,"(60.0, 70.0]"
258873,2022-01-01,0,0.0,0
258874,2022-01-01,0,0.0,0
258875,2022-01-01,0,0.0,0
258876,2022-01-01,0,73.52000000000001,"(70.0, 80.0]"
258877,2022-01-01,0,0.0,0
258878,2022-01-01,1,0.0,0
258879,2022-01-01,0,1.18,"(0.0, 5.0]"
258880,2022-01-01,0,73.16,"(70.0, 80.0]"
258881,2022-01-01,0,1.85,"(0.0, 5.0]"
258882,2022-01-01,0,0.5,"(0.0, 5.0]"
258883,2022-01-01,1,0.0,0
258884,2022-01-01,0,0.25,"(0.0, 5.0]"
258885,2022-01-01,0,61.67,"(60.0, 70.0]"
258886,2022-01-01,0,0.0,0
258887,2022-01-01,0,0.07,"(0.0, 5.0]"
258888,2022-01-01,0,0.67,"(0.0, 5.0]"
258889,2022-01-01,0,0.0,0
258890,2022-01-01,0,1.2,"(0.0, 5.0]"
258891,2022-01-01,0,0.0,0
258892,2022-01-01,0,11.16,"(10.0, 15.0]"
258893,2022-01-01,0,25.25,"(25.0, 30.0]"
258894,2022-01-01,0,61.97,"(60.0, 70.0]"
258895,2022-01-01,0,11.2,"(10.0, 15.0]"
258896,2022-01-01,0,0.0,0
258897,2022-01-01,0,0.1,"(0.0, 5.0]"
258898,2022-01-01,0,0.0,0
258899,2022-01-01,0,0.0,0
258900,2022-01-01,0,0.0,0
258901,2022-01-01,0,0.0,0
258902,2022-01-01,0,18.85,"(15.0, 20.0]"
258903,2022-01-01,0,9.28,"(5.0, 10.0]"
258904,2022-01-01,0,218.95999999999998,"(120.0, 240.0]"
258905,2022-01-01,0,3.58,"(0.0, 5.0]"
258906,2022-01-01,0,250.38,"(240.0, 480.0]"
258907,2022-01-01,0,12.25,"(10.0, 15.0]"
258908,2022-01-01,1,15.03,"(15.0, 20.0]"
258909,2022-01-01,0,0.0,0
258910,2022-01-02,0,6.62,"(5.0, 10.0]"
258911,2022-01-02,0,0.0,0
258912,2022-01-02,0,15.46,"(15.0, 20.0]"
258913,2022-01-02,1,45.52,"(40.0, 50.0]"
258914,2022-01-02,0,2.78,"(0.0, 5.0]"
