certificate_id,student_id,certificate_type,course_id,track_id,date_issued
68911,259209,1,7,\N,2022-01-04
68946,259258,1,7,\N,2022-01-05
68969,258955,1,7,\N,2022-01-06
68976,259268,1,46,\N,2022-01-06
68990,259447,1,7,\N,2022-01-07
68994,258800,1,7,\N,2022-01-07
69022,259174,1,7,\N,2022-01-07
69038,259702,1,7,\N,2022-01-08
69039,259482,1,7,\N,2022-01-08
69099,259664,1,7,\N,2022-01-11
69109,259860,1,7,\N,2022-01-11
69129,260029,1,7,\N,2022-01-12
69135,258822,1,7,\N,2022-01-12
69169,259504,1,16,\N,2022-01-13
69170,260192,1,7,\N,2022-01-13
69175,259258,1,21,\N,2022-01-14
69176,260324,1,7,\N,2022-01-14
69195,259959,1,7,\N,2022-01-14
69198,259860,1,42,\N,2022-01-14
69201,259258,1,20,\N,2022-01-14
69206,259283,1,21,\N,2022-01-15
69222,260173,1,7,\N,2022-01-15
69231,260486,1,7,\N,2022-01-16
69234,259767,1,7,\N,2022-01-16
69240,259504,1,22,\N,2022-01-16
69246,259106,1,42,\N,2022-01-16
69251,260649,1,7,\N,2022-01-16
69283,259996,1,7,\N,2022-01-17
69287,260324,1,21,\N,2022-01-17
69289,260029,1,23,\N,2022-01-17
69294,259938,1,7,\N,2022-01-18
69314,259777,1,23,\N,2022-01-18
69321,259174,1,35,\N,2022-01-18
69331,259938,1,20,\N,2022-01-19
69380,260649,1,21,\N,2022-01-20
69390,260465,1,7,\N,2022-01-21
69393,260754,1,7,\N,2022-01-21
69397,260132,1,24,\N,2022-01-21
69407,259938,1,35,\N,2022-01-21
69412,260486,1,21,\N,2022-01-22
69413,260494,1,4,\N,2022-01-22
69415,260593,1,21,\N,2022-01-22
69441,260477,1,23,\N,2022-01-23
69447,261183,1,46,\N,2022-01-23
69450,261022,1,7,\N,2022-01-23
69457,261212,1,7,\N,2022-01-23
69458,260211,1,23,\N,2022-01-23
69460,260998,1,7,\N,2022-01-24
69462,260829,1,23,\N,2022-01-24
69466,260062,1,28,\N,2022-01-24
69474,259756,1,7,\N,2022-01-24
69476,260173,1,42,\N,2022-01-24
69481,260998,1,23,\N,2022-01-24
69489,260829,1,13,\N,2022-01-25
69494,260062,1,23,\N,2022-01-25
69496,259174,1,23,\N,2022-01-25
69498,259283,1,22,\N,2022-01-25
69501,259504,1,21,\N,2022-01-26
69507,261212,1,21,\N,2022-01-26
69510,260593,1,24,\N,2022-01-26
69511,261019,1,7,\N,2022-01-26
69513,261374,1,7,\N,2022-01-26
69514,260649,1,24,\N,2022-01-26
69519,261268,1,21,\N,2022-01-26
69540,261491,1,7,\N,2022-01-26
69542,259171,1,7,\N,2022-01-26
69546,260486,1,24,\N,2022-01-26
69553,261567,1,21,\N,2022-01-27
69555,261685,1,7,\N,2022-01-27
69561,259504,1,7,\N,2022-01-27
69574,259106,1,46,\N,2022-01-28
69585,260831,1,7,\N,2022-01-28
69594,260998,1,21,\N,2022-01-28
69595,259524,1,35,\N,2022-01-28
69597,261777,1,42,\N,2022-01-29
69602,260754,1,46,\N,2022-01-29
69604,260754,1,42,\N,2022-01-29
69608,261455,1,7,\N,2022-01-29
69609,261268,1,24,\N,2022-01-29
69610,261721,1,7,\N,2022-01-29
69611,261466,1,7,\N,2022-01-29
69619,261777,1,46,\N,2022-01-30
69625,261263,1,7,\N,2022-01-30
69627,261184,1,7,\N,2022-01-30
69629,261550,1,35,\N,2022-01-30
69633,261773,1,7,\N,2022-01-30
69638,260486,1,16,\N,2022-01-31
69639,260850,1,24,\N,2022-01-31
69649,261567,1,24,\N,2022-01-31
69650,261979,1,7,\N,2022-01-31
69655,260968,1,7,\N,2022-01-31
69656,261212,1,24,\N,2022-02-01
69658,260486,1,22,\N,2022-02-01
69661,260850,1,22,\N,2022-02-01
69667,261391,1,7,\N,2022-02-01
69670,260345,1,7,\N,2022-02-01
69673,261359,1,23,\N,2022-02-01
69677,260971,1,7,\N,2022-02-01
69679,260971,1,46,\N,2022-02-01
69680,261491,1,21,\N,2022-02-01
69683,259283,1,24,\N,2022-02-02
69693,261359,1,13,\N,2022-02-02
69705,261905,1,7,\N,2022-02-02
69708,261263,1,23,\N,2022-02-03
69718,261785,1,42,\N,2022-02-03
69726,260998,1,2,\N,2022-02-03
69732,259767,1,23,\N,2022-02-04
69735,261819,1,7,\N,2022-02-04
69742,261777,1,21,\N,2022-02-04
69745,261979,1,46,\N,2022-02-04
69746,260173,1,23,\N,2022-02-04
69756,260998,1,14,\N,2022-02-05
