student_id,course_id,minutes_watched,date_watched
258940,2,2.12,2022-01-02
258893,2,0.65,2022-01-02
258904,2,13.08,2022-01-02
259041,2,0.18,2022-01-02
258904,2,36.33,2022-01-03
258863,2,43.72,2022-01-05
259143,2,0.05,2022-01-06
259841,2,0.08,2022-01-09
259923,2,0.57,2022-01-11
260045,2,0.43,2022-01-11
260165,2,17.2,2022-01-12
260176,2,32.95,2022-01-12
260209,2,0.52,2022-01-12
260241,2,0.07,2022-01-13
260165,2,18.68,2022-01-13
260111,2,24.8,2022-01-16
260907,2,2.6,2022-01-18
260939,2,0.25,2022-01-19
260715,2,0.07,2022-01-20
261218,2,0.15,2022-01-22
261392,2,0.05,2022-01-24
261218,2,0.07,2022-01-24
261510,2,43.72,2022-01-25
261534,2,6.32,2022-01-25
261165,2,57.37,2022-01-26
261510,2,12.27,2022-01-27
260126,2,73.08,2022-01-27
261687,2,0.95,2022-01-27
261530,2,0.58,2022-01-27
261059,2,100.83,2022-01-27
261510,2,10.05,2022-01-28
261059,2,27.5,2022-01-28
261510,2,14.35,2022-01-30
262092,2,41.08,2022-01-31
262316,2,0.98,2022-02-02
261510,2,13.57,2022-02-02
260998,2,118.6,2022-02-03
262536,2,26.48,2022-02-03
262190,2,3.12,2022-02-03
262603,2,6.98,2022-02-04
262536,2,13.25,2022-02-04
262702,2,0.93,2022-02-04
261995,2,11.55,2022-02-05
262190,2,51.87,2022-02-05
262763,2,1.43,2022-02-05
261510,2,54.98,2022-02-06
262190,2,24.65,2022-02-06
260126,2,0.05,2022-02-07
261681,2,0.17,2022-02-07
262983,2,1.35,2022-02-07
261782,2,0.3,2022-02-07
262962,2,14.5,2022-02-08
262983,2,28.53,2022-02-08
263143,2,1.28,2022-02-09
263171,2,0.92,2022-02-09
263180,2,0.5,2022-02-09
262983,2,0.33,2022-02-09
260702,2,0.07,2022-02-09
263120,2,82.28,2022-02-09
261782,2,30.25,2022-02-09
263230,2,1.67,2022-02-09
263120,2,23.42,2022-02-10
261631,2,6.87,2022-02-10
261510,2,12.47,2022-02-10
263358,2,3.33,2022-02-11
261510,2,36.92,2022-02-12
263458,2,0.55,2022-02-12
262392,2,66.72,2022-02-13
263669,2,30.63,2022-02-14
263685,2,5.35,2022-02-14
262392,2,32.77,2022-02-15
263685,2,15.03,2022-02-15
261782,2,7.92,2022-02-15
263824,2,0.43,2022-02-16
264012,2,31.83,2022-02-17
264012,2,22.78,2022-02-18
258818,2,6.72,2022-02-18
261239,2,17.67,2022-02-18
264230,2,4.87,2022-02-19
259005,2,0.13,2022-02-19
259005,2,0.53,2022-02-21
262908,2,46.27,2022-02-22
261239,2,4.4,2022-02-22
258818,2,17.98,2022-02-23
262908,2,15.03,2022-02-23
264782,2,33.32,2022-02-23
263786,2,128.87,2022-02-24
264913,2,5.75,2022-02-24
262908,2,24.37,2022-02-24
262414,2,31.22,2022-02-24
264936,2,0.17,2022-02-26
261263,2,7.4,2022-02-26
265155,2,0.52,2022-02-26
265003,2,6.92,2022-02-27
265258,2,0.67,2022-02-27
265133,2,0.57,2022-02-27
260608,2,49.65,2022-02-28
265330,2,40.65,2022-02-28
261263,2,13.73,2022-02-28
260608,2,13.33,2022-03-01
265462,2,23.38,2022-03-01
260861,2,7.03,2022-03-01
261263,2,27.83,2022-03-01
264694,2,53,2022-03-02
263470,2,18.63,2022-03-02
265462,2,7.28,2022-03-02
260608,2,15.97,2022-03-03
265589,2,6.17,2022-03-03
258818,2,7.1,2022-03-03
265710,2,1.53,2022-03-03
265737,2,22.67,2022-03-03
261022,2,16,2022-03-03
261263,2,70.57,2022-03-04
258818,2,12.32,2022-03-04
264694,2,22.03,2022-03-04
260768,2,0.27,2022-03-05
261263,2,33.65,2022-03-06
263480,2,150.37,2022-03-07
266154,2,4.9,2022-03-07
261022,2,14.9,2022-03-07
